date,BTC,ETH,USDC
2022-06-07,31106.90,1811.89,1.0008
2022-06-08,30177.00,1790.72,1.0009
2022-06-09,30079.62,1787.55,1.0009
2022-06-10,29063.11,1660.78,1.0011
2022-06-11,28388.63,1531.09,1.0016
2022-06-12,26555.20,1433.19,1.0016
2022-06-13,22460.97,1207.82,1.0013
2022-06-14,22120.25,1207.58,1.0014
2022-06-15,22562.33,1236.45,1.0014
2022-06-16,20372.00,1066.87,1.0015
2022-06-17,20447.86,1085.76,1.0015
2022-06-18,18948.89,993.64,1.0016
2022-06-19,20552.44,1126.90,1.0013
