date,BTC,ETH,USDC
2022-11-04,21144.20,1644.61,0.9999
2022-11-05,21300.45,1627.00,1.0000
2022-11-06,20909.17,1568.34,1.0000
2022-11-07,20593.49,1568.34,0.9999
2022-11-08,18550.25,1334.25,1.0016
2022-11-09,15891.96,1099.90,1.0022
2022-11-10,17553.89,1295.36,1.0024
2022-11-11,17013.62,1285.29,1.0024
2022-11-12,16783.33,1255.14,1.0015
2022-11-13,16301.39,1219.43,1.0012
2022-11-14,16590.73,1241.56,1.0012
2022-11-15,16877.93,1251.74,1.0011
